Title,Author,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
The Vincent Boys (The Vincent Boys Series),"Glines, Abbi",,,,Florida,Polk County Public Schools,January 2022,Banned in Libraries,Administrator
The Vincent Boys (The Vincent Boys Series),"Glines, Abbi",,,,Florida,Walton County School District,April 2022,Banned Pending Investigation,Administrator
The Vincent Brothers (The Vincent Boys Series),"Glines, Abbi",,,,Texas,Granbury Independent School District,January 2022,Banned in Libraries and Classrooms,Administrator
Under the Lights (The Field Party Series),"Glines, Abbi",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
Until Friday Night (The Field Party Series),"Glines, Abbi",,,,Texas,Granbury Independent School District,January 2022,Banned in Libraries and Classrooms,Administrator
Until the End (Sea Breeze Series),"Glines, Abbi",,,,Texas,Granbury Independent School District,January 2022,Banned in Libraries and Classrooms,Administrator
The Hula-Hoopin' Queen,"Godin, Thelma Lynne",,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Roe v. Wade: A Woman's Choice?,"Gold, Susan Dudley",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
Lord of the Flies,"Golding, William",,,,Oklahoma,Bristow Public Schools,October 2021,Banned in Libraries,Administrator
"Two Parties, One Tux, and a Very Short Film about The Grapes of Wrath","Goldman, Steven",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
The Sound of Silence,"Goldsaito, Katrina",,"Kuo, Julia",,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
Love & Other Carnivorous Plants,"Gonsalves, Florence",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
"Trans+: Love, Sex, Romance, and Being You","Gonzales, Kathryn","Rayne, Karen",,,Florida,Walton County School District,April 2022,Banned Pending Investigation,Administrator
"Trans+: Love, Sex, Romance, and Being You","Gonzales, Kathryn","Rayne, Karen",,,Tennessee,Collierville Schools,February 2022,Banned in Libraries and Classrooms,Administrator
Perfect on Paper,"Gonzales, Sophie",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
"They, She, He Easy as ABC","Gonzalez, Maya Christina","SG, Matthew",,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
"They, She, He Easy as ABC","Gonzalez, Maya Christina","SG, Matthew",,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
What Drowns the Flowers in Your Mouth: A Memoir of Brotherhood,"González, Rigoberto",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
All Around Us,"Gonzalez, Xelena",,"Garcia, Adriana M.",,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
Sister Mischief,"Goode, Laura",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Sister Mischief,"Goode, Laura",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
How Not to Ask a Boy to Prom,"Goslee, S. J.",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Whatever.: or how junior year became totally f$@ked,"Goslee, S. J.",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Forever for a Year,"Gottfred, B. T.",,,,Texas,Cypress-Fairbanks Independent School District,December 2021,Banned in Libraries and Classrooms,Administrator
Forever for a Year,"Gottfred, B. T.",,,,Texas,Katy Independent School District,November 2021,Banned in Libraries and Classrooms,Administrator
Forever for a Year,"Gottfred, B. T.",,,,Texas,Lamar Consolidated Independent School District,December 2021,Banned Pending Investigation,Administrator
The Handsome Girl & Her Beautiful Boy,"Gottfred, B. T.",,,,Texas,Katy Independent School District,November 2021,Banned in Libraries and Classrooms,Administrator
The Nerdy and the Dirty,"Gottfred, B. T.",,,,Texas,Cypress-Fairbanks Independent School District,January 2022,Banned in Libraries and Classrooms,Administrator
The Nerdy and the Dirty,"Gottfred, B. T.",,,,Texas,Katy Independent School District,November 2021,Banned in Libraries and Classrooms,Administrator
The Nerdy and the Dirty,"Gottfred, B. T.",,,,Texas,Lamar Consolidated Independent School District,December 2021,Banned Pending Investigation,Administrator
Seeing Gender: An Illustrated Guide to Identity and Expression,"Gottlieb, Iris",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Amelia Westlake Was Never Here,"Gough, Erin",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Cross My Heart (Cross My Heart Series),"Gould, Sasha",,,,Florida,Indian River County School District,November 2021,Banned in Libraries and Classrooms,Administrator
Who Was Maria Tallchief? (Who was...? Series),"Gourley, Catherine",,"Taylor, Val Paul",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Image and Identity: Becoming the Person You Are,"Gowen, L. Kris","McKenna, Molly",,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Night Shine (Night Shine Series),"Gratton, Tessa",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Refugee,"Gratz, Alan",,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Refugee,"Gratz, Alan",,,,Texas,Katy Independent School District,January 2022,Banned Pending Investigation,Administrator
Let it Snow: Three Holiday Romances,"Green, John","Johnson, Maureen; Myracle, Lauren",,,Wisconsin,School District of Waukesha,December 2021,Banned in Libraries,Administrator
Looking for Alaska,"Green, John",,,,Florida,Hernando School District,November 2021,Banned in Libraries and Classrooms,Administrator
Looking for Alaska,"Green, John",,,,Florida,Indian River County School District,November 2021,Banned in Libraries,Administrator
Looking for Alaska,"Green, John",,,,Florida,Osceola County School District,April 2022,Banned Pending Investigation,Administrator
Looking for Alaska,"Green, John",,,,Idaho,Nampa School District,May 2022,Banned in Libraries and Classrooms,Administrator
Looking for Alaska,"Green, John",,,,Michigan,Gladwin Community Schools,May 2022,Banned Pending Investigation,Administrator
Looking for Alaska,"Green, John",,,,Missouri,Nixa Public Schools,February 2022,Banned in Libraries,Formal Challenge
Looking for Alaska,"Green, John",,,,New York,Yorktown Central School District,January 2022,Banned Pending Investigation,Formal Challenge
Looking for Alaska,"Green, John",,,,Oklahoma,Bristow Public Schools,October 2021,Banned in Libraries,Administrator
Looking for Alaska,"Green, John",,,,Texas,Fredericksburg Independent School District,March 2022,Banned in Libraries and Classrooms,Administrator
Looking for Alaska,"Green, John",,,,Texas,Katy Independent School District,April 2022,Banned in Libraries,Administrator
Looking for Alaska,"Green, John",,,,Texas,Klein Independent School District,November 2021,Banned Pending Investigation,Administrator
"Will Grayson, Will Grayson (Will Grayson, Will Grayson Series)","Green, John","Levithan, David",,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
"Will Grayson, Will Grayson (Will Grayson, Will Grayson Series)","Green, John","Levithan, David",,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
"Will Grayson, Will Grayson (Will Grayson, Will Grayson Series)","Green, John","Levithan, David",,,Texas,Klein Independent School District,November 2021,Banned Pending Investigation,Administrator
"Will Grayson, Will Grayson (Will Grayson, Will Grayson Series)","Green, John","Levithan, David",,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Lighter than My Shadow,"Green, Katie",,,,Pennsylvania,Eastern Lancaster County School District,October 2021,Banned in Libraries and Classrooms,Administrator
"Sex Plus: Learning, Loving, and Enjoying Your Body","Green, Laci",,,,Florida,Walton County School District,April 2022,Banned Pending Investigation,Administrator
Rosa Parks,"Greenfield, Eloise",,"Ashby, Gil",,Florida,Volusia County Schools,September 2021,Banned Pending Investigation,Administrator
The Great Migration: Journey to the North,"Greenfield, Eloise",,"Gilchrist, Jan Spivey",,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
Hooked,"Greenman, Catherine",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
None of the Above,"Gregorio, I. W.",,,,Texas,Leander Independent School District,September 2021,Banned in Classrooms,Administrator
None of the Above,"Gregorio, I. W.",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
The Deepest Breath,"Grehan, Meg",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Make Way for Dyamonde Daniel (Dyamonde Daniel Series),"Grimes, Nikki",,"Christie, R. Gregory",,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
Ordinary Hazards,"Grimes, Nikki",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
Ordinary Hazards,"Grimes, Nikki",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Fates and Furies,"Groff, Lauren",,,,Florida,Walton County School District,April 2022,Banned Pending Investigation,Administrator
Water for Elephants,"Gruen, Sara",,,,Florida,Indian River County School District,November 2021,Banned Pending Investigation,Administrator
Water for Elephants,"Gruen, Sara",,,,Michigan,Gladwin Community Schools,May 2022,Banned Pending Investigation,Administrator
Leila in Saffron,"Guidroz, Rukhsanna",,"Mirtalipova, Dinara",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
What Philosophy Can Do,"Gutting, Gary",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Homegoing,"Gyasi, Yaa",,,,Florida,Indian River County School District,November 2021,Banned Pending Investigation,Administrator
Homegoing,"Gyasi, Yaa",,,,Georgia,Cherokee County School District,March 2022,Banned Pending Investigation,Formal Challenge
Homegoing,"Gyasi, Yaa",,,,Missouri,Nixa Public Schools,May 2022,Banned in Libraries,Formal Challenge
Homegoing,"Gyasi, Yaa",,,,Texas,Klein Independent School District,December 2021,Banned Pending Investigation,Administrator
Prince & Knight (Prince & Knight Series),"Haack, Daniel",,"Lewis, Stevie",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Culturally Responsive Teaching and The Brain: Promoting Authentic Engagement and Rigor Among Culturally and Linguistically Diverse Students,"Hammond, Zaretta",,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
To All the Boys I've Loved Before (To All the Boys I've Loved Before Series),"Han, Jenny",,,,Texas,Katy Independent School District,February 2022,Banned in Libraries,Administrator
The Abortion Debate: Understanding the Issues (Issues in Focus Today),"Haney, Johannah",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
A Raisin in the Sun,"Hansberry, Lorraine",,,,Oklahoma,Edmond Public Schools,October 2021,Banned in Libraries and Classrooms,Administrator
The Art of Fielding,"Harbach, Chad",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
The Last Exit to Normal,"Harmon, Michael",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
The Last Exit to Normal,"Harmon, Michael",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Dead Until Dark (Sookie Stackhouse Series),"Harris, Charlaine",,,,Florida,Walton County School District,April 2022,Banned Pending Investigation,Administrator
Political Resistance in the Current Age,"Harris, Duchess","Turner, Myra Faye",,,Texas,Klein Independent School District,November 2021,Banned Pending Investigation,Administrator
"It's Not the Stork!: A Book About Girls, Boys, Babies, Bodies, Families and Friends","Harris, Robie H.",,"Emberley, Michael",,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H.",,"Emberley, Michael",,Florida,Polk County Public Schools,January 2022,Banned in Libraries,Administrator
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H.",,"Emberley, Michael",,Florida,Walton County School District,April 2022,Banned Pending Investigation,Administrator
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H.",,"Emberley, Michael",,Idaho,Nampa School District,May 2022,Banned in Libraries and Classrooms,Administrator
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H.",,"Emberley, Michael",,Indiana,Carmel Clay Schools,July 2021,Banned in Libraries and Classrooms,Administrator
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H.",,"Emberley, Michael",,Texas,Birdville Independent School District,October 2021,Banned Pending Investigation,Formal Challenge
